word,segmentation,segment_type,related_words,notes
respectively,re.spec.tive.ly,verified,re.spec.tive; re.spect; v.n,adj. 对应的；分别的 . 尊重 successive adj. 连续的，依次的
sovereignty,sover.eign.ty,verified,,sover -> (vulgar latin) super sovereign 形容词
chilly,chi.lly,verified,chi.lli,. 辣椒
debacle,de.bac.le,verified,,bar
narrative,narr.ative,verified,narr.ow,就是记叙文的那个记叙
disparate,dis.par.ate,verified,dis.par.age; dis.par.ity; des.per.ate,不是一类的 由不同的事物组成的；迥然不同无法比较的； 贬低 （不公正引起的）不同 [ˈdespərət]绝望的
obscene,ob.sc.ene,verified,sc.ene,场景
roadster,road.ster,verified,drag.ster,短程高速赛车
delegate,de.leg.ate,verified,re.leg.ate,降级 代表
premier,pre.mi.er,verified,pre.mi.ere,[ˈpremieə ] （戏剧、电影）首次公演 首要的；（报章中）总理；（加拿大）省总理； primer [praimer] 基础教材。小学读本。底漆。
whetstone,whet.stone,verified,,w et wheat 小麦 grindstone 磨刀石，砂轮
implicit,im.plicit,verified,ex.plicit; im.plic.ate,清楚明白的。不掩饰直接的 卷入 tacit 心照不宣的；不言而喻的；默示的 含蓄的(34%)，绝对的(24%)，固有的(15%)，无疑问的(11%)，暗示的(9%)，无保留的(7%)
collegiate,col.legi.ate,verified,col.legi.al; legi.on; col.lege,联想：一起说说话 [kə'li:dʒɪəl]学院的；与同僚共同分担责任的； ['liːdʒən]军团 大学
collegial,coll.eg.i.al,verified,coll.eg.i.ate,学院的；与同僚共同分担责任的； 学院的、大学生的；划分学院的；
assertive,as.sert.ive,verified,in.sert; de.sert,插入 沙漠
crumble,crumb.le,verified,crump.le; bumb.le,crumb 面包屑 vt.揉皱 vt.皱起；瘫倒； v.跌跌撞撞
wrinkle,wr.ink.le,verified,cr.ink.le; v.n,. 变皱；皱纹 wring v.拧干 wink 眨眼
unintended,un.intend.ed,verified,,intend v. 打算 intent adj.专注的 n.目的，意图
tentative,tenta.tive,verified,tenta.cle,两个意思都是“试探性的” 触手 暂时的(51%)，不确定的(22%)，犹豫不决的(15%)，试验性质的(12%)
reconciliation,re.con.cili.ation,verified,con.cili.ate; re.con,"使息怒；安抚 council [ˈkaʊnsl] 理事会；地方议会； reconciliate 动词 联想：cili = silly ,con silly ,一起来傻玩， sily 重新和好了"
envoy,en.voy,verified,en.vy; n.v; con.voy; voy.age; voy.eur,"voy 路 ： 使者（跑腿带信的） . 羡慕 嫉妒 n.（有护送的）车队船队。v.护送 航行，旅行 窥淫癖者 随从 ： entourage , retinue"
impose,im.pose,verified,im.post.or; pro.pose; de.pose; re.pose; dis.pose,（政府）推行；强迫实行 冒充者 提议；求婚；祝酒； 废黜 休息；搁置； 布置安排；处置；
secret,se.cret,verified,se.cret.ary; con.crete,混凝土
secretary,se.cret.ary,verified,se.cret; se.crete; dis.crete,秘密的 v.分泌(88%)，隐藏(12%) 离散的
scoundrel,sc.oun.drel,verified,scr.oun.ge; s.oun.d,v. 蹭（吃、喝）
whisker,whis.ker,verified,whis.ky; whis.key,威士忌（苏格兰） 威士忌（美国，爱尔兰） briskle 短而硬的毛发
implication,im.pli.cation,verified,im.pre.cation; com.plicate; im.plicate; ex.plicate,三个意思总体来说是“连带到的事情” n.咒语 v. 使复杂 v. 使卷入 v. 详细解释（想法，文学作品）
consensus,con.sens.us,verified,,con. sens. ual 形容词 concession 让步；承认别人的胜利；特许经营权；
general,gene.ral,verified,,generic [dʒəˈnerɪk] 一般的，通常的 genial /ˈdʒiːniəl/ 欢乐友善的
perpetuate,per.petu.ate,verified,per.petu.al; per.petr.ate,形容词 [ˈpɜ:pətreɪt] 犯（罪） 使持久化
perpetual,per.petu.al,verified,per.petu.ate; per.petr.ate,动词 犯（罪） perennial
perpetrate,per.pe.trate,verified,,perpetual 永久的 perpetuate 永久化
bluster,blu.ster,verified,blu.ff; bli.ster,动词 虚张声势 吓唬 水泡(80%)，生水疱(4%)，责骂(4%)
indiscriminate,in.dis.crimin.ate,verified,dis.crimin.ate; crimin.al,v. 区别 鉴别 adj. 犯罪的；n.罪犯 crime n. 罪行
jockey,jock.ey,verified,hock.ey,jock 13824 爱好运动的男子；苏格兰高地的士兵。 joke 笑话。 joker 扑克牌中的小丑、大小王 （英）曲棍球 （美）冰球
adroit,a.droit,verified,an.droid,canny: （商业或政治方面）聪明谨慎有判断力； adroit: （尤指待人接物）聪明、有技巧的； astute: （判断市场）精明、反应快的= shrewd /ʃruːd/
stagnation,stag.nation,verified,,联想：有nation的是说经济的 stagsis 这个词不存在 stasis 停滞(单纯的停滞，没说经济） stag 雄鹿 ； stale、still
contend,con.tend,verified,in.tend; ex.tend; con.tent; in.tent,v.主张；争夺 v. 计划、打算 v. 延长；扩展 词根是tend，本意是一起争夺 n.内容。满意。 n. 目的 adj. 专注的
propose,pro.pose,verified,im.pose; de.pose; re.pose; dis.pose,提议；求婚；祝酒； （政府）推行；强迫实行； 废黜 休息；搁置； 布置安排；处置；
